[SA] n=20 | SA | T0=1000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0021s | Distancia: 2050
[SA] n=20 | SA | T0=1000, CR=0.95, Tmin=0.1 | Tiempo: 0.0015s | Distancia: 1877
[SA] n=20 | SA | T0=1000, CR=0.99, Tmin=0.01 | Tiempo: 0.0079s | Distancia: 1825
[SA] n=20 | SA | T0=1000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0110s | Distancia: 1868
[SA] n=20 | SA | T0=1000, CR=0.99, Tmin=0.1 | Tiempo: 0.0064s | Distancia: 1629
[SA] n=20 | SA | T0=1000, CR=0.995, Tmin=0.01 | Tiempo: 0.0159s | Distancia: 1677
[SA] n=20 | SA | T0=1000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0222s | Distancia: 1757
[SA] n=20 | SA | T0=1000, CR=0.995, Tmin=0.1 | Tiempo: 0.0126s | Distancia: 1570
[SA] n=20 | SA | T0=2000, CR=0.9, Tmin=0.01 | Tiempo: 0.0008s | Distancia: 2606
[SA] n=20 | SA | T0=2000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0011s | Distancia: 1843
[SA] n=20 | SA | T0=2000, CR=0.9, Tmin=0.1 | Tiempo: 0.0007s | Distancia: 2710
[SA] n=20 | SA | T0=2000, CR=0.95, Tmin=0.01 | Tiempo: 0.0016s | Distancia: 2179
[SA] n=20 | SA | T0=2000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0022s | Distancia: 1642
[SA] n=20 | SA | T0=2000, CR=0.95, Tmin=0.1 | Tiempo: 0.0013s | Distancia: 2225
[SA] n=20 | SA | T0=2000, CR=0.99, Tmin=0.01 | Tiempo: 0.0083s | Distancia: 1664
[SA] n=20 | SA | T0=2000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0119s | Distancia: 1662
[SA] n=20 | SA | T0=2000, CR=0.99, Tmin=0.1 | Tiempo: 0.0068s | Distancia: 1716
[SA] n=20 | SA | T0=2000, CR=0.995, Tmin=0.01 | Tiempo: 0.0175s | Distancia: 1610
[SA] n=20 | SA | T0=2000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0241s | Distancia: 1465
[SA] n=20 | SA | T0=2000, CR=0.995, Tmin=0.1 | Tiempo: 0.0135s | Distancia: 1706
[SA] n=50 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0008s | Distancia: 7649
[SA] n=50 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0012s | Distancia: 7057
[SA] n=50 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0006s | Distancia: 8963
