[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0985s | Distancia: 800
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0987s | Distancia: 875
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0993s | Distancia: 675
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0996s | Distancia: 864
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.1073s | Distancia: 791
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.1070s | Distancia: 830
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.1013s | Distancia: 924
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.1007s | Distancia: 931
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.1014s | Distancia: 893
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.1040s | Distancia: 669
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.1068s | Distancia: 1030
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.1014s | Distancia: 872
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0993s | Distancia: 924
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.1000s | Distancia: 978
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.1019s | Distancia: 812
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.1068s | Distancia: 812
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.1065s | Distancia: 942
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.1114s | Distancia: 830
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.1094s | Distancia: 809
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.1084s | Distancia: 746
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.1062s | Distancia: 910
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.1095s | Distancia: 995
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.1067s | Distancia: 859
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.1069s | Distancia: 731
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0199s | Distancia: 1100
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0192s | Distancia: 893
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0205s | Distancia: 864
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0225s | Distancia: 821
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0204s | Distancia: 1024
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0210s | Distancia: 727
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0209s | Distancia: 1017
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.0214s | Distancia: 1027
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.0202s | Distancia: 960
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.0206s | Distancia: 810
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.0215s | Distancia: 1015
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.0207s | Distancia: 984
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.0201s | Distancia: 1098
[Cuckoo Search] n=10 | Cuckoo | nests=50, iter=50, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.0204s | Distancia: 1067
