[SA] n=50 | SA | T0=2000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0034s | Distancia: 5245
[SA] n=50 | SA | T0=2000, CR=0.95, Tmin=0.1 | Tiempo: 0.0019s | Distancia: 5834
[SA] n=50 | SA | T0=2000, CR=0.99, Tmin=0.01 | Tiempo: 0.0127s | Distancia: 4402
[SA] n=50 | SA | T0=2000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0173s | Distancia: 3464
[SA] n=50 | SA | T0=2000, CR=0.99, Tmin=0.1 | Tiempo: 0.0097s | Distancia: 4737
[SA] n=50 | SA | T0=2000, CR=0.995, Tmin=0.01 | Tiempo: 0.0248s | Distancia: 3273
[SA] n=50 | SA | T0=2000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0338s | Distancia: 3422
[SA] n=50 | SA | T0=2000, CR=0.995, Tmin=0.1 | Tiempo: 0.0206s | Distancia: 4165
[SA] n=100 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0019s | Distancia: 16615
[SA] n=100 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0020s | Distancia: 17748
[SA] n=100 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0009s | Distancia: 19745
[SA] n=100 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0029s | Distancia: 14816
[SA] n=100 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0039s | Distancia: 12853
[SA] n=100 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0018s | Distancia: 17225
[SA] n=100 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0126s | Distancia: 9485
[SA] n=100 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0197s | Distancia: 8395
[SA] n=100 | SA | T0=50, CR=0.99, Tmin=0.1 | Tiempo: 0.0091s | Distancia: 10695
[SA] n=100 | SA | T0=50, CR=0.995, Tmin=0.01 | Tiempo: 0.0257s | Distancia: 8791
[SA] n=100 | SA | T0=50, CR=0.995, Tmin=0.0001 | Tiempo: 0.0449s | Distancia: 8555
[SA] n=100 | SA | T0=50, CR=0.995, Tmin=0.1 | Tiempo: 0.0184s | Distancia: 7965
[SA] n=100 | SA | T0=100, CR=0.9, Tmin=0.01 | Tiempo: 0.0015s | Distancia: 17008
[SA] n=100 | SA | T0=100, CR=0.9, Tmin=0.0001 | Tiempo: 0.0020s | Distancia: 17321
[SA] n=100 | SA | T0=100, CR=0.9, Tmin=0.1 | Tiempo: 0.0010s | Distancia: 19431
[SA] n=100 | SA | T0=100, CR=0.95, Tmin=0.01 | Tiempo: 0.0028s | Distancia: 15308
[SA] n=100 | SA | T0=100, CR=0.95, Tmin=0.0001 | Tiempo: 0.0039s | Distancia: 13303
