[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0099s | Distancia: 1410
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0100s | Distancia: 1467
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0100s | Distancia: 1168
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0102s | Distancia: 1341
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0100s | Distancia: 1327
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0098s | Distancia: 1367
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.0100s | Distancia: 1315
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.0101s | Distancia: 1468
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.0105s | Distancia: 1366
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.0106s | Distancia: 1444
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.0102s | Distancia: 1300
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.0102s | Distancia: 1274
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.0108s | Distancia: 1330
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.0121s | Distancia: 1496
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0105s | Distancia: 1403
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.0102s | Distancia: 1433
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.0103s | Distancia: 1303
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.0109s | Distancia: 1410
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.0108s | Distancia: 1291
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.0111s | Distancia: 1313
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.0113s | Distancia: 1486
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.0114s | Distancia: 1385
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.0109s | Distancia: 1423
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.0111s | Distancia: 1355
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.0116s | Distancia: 1239
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.0110s | Distancia: 1300
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0399s | Distancia: 1162
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0426s | Distancia: 1191
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0425s | Distancia: 1384
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0426s | Distancia: 1065
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0411s | Distancia: 1168
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0403s | Distancia: 1423
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0403s | Distancia: 1206
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.0403s | Distancia: 1048
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.0429s | Distancia: 1297
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.0417s | Distancia: 1103
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.0424s | Distancia: 1361
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.0422s | Distancia: 1290
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.0416s | Distancia: 1197
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.0416s | Distancia: 1228
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.0410s | Distancia: 1196
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0417s | Distancia: 1097
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.0416s | Distancia: 1229
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.0417s | Distancia: 1303
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.0444s | Distancia: 1310
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.0438s | Distancia: 1301
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.0450s | Distancia: 1189
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.0439s | Distancia: 1048
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.0440s | Distancia: 1065
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.0445s | Distancia: 1261
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.0444s | Distancia: 1094
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.0443s | Distancia: 1301
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.0447s | Distancia: 1355
